name,website,hq_country,hq_city,founded,category,subsector,modality,company_type,status,description,notes
Brightlight Photonics,https://www.brightlightphotonics.com/,United States,"Cambridge, Massachusetts",2024,Components & Enabling Technologies,Integrated lasers,,startup,active,"Develops chip-scale titanium:sapphire (Ti:SaOI) lasers and amplifiers for quantum, metrology and biomedicine.",QED-C member; resident company at The Engine (MIT-affiliated). CEO Joshua Yang (Stanford).
Brolis Semiconductors,https://www.brolis-semicon.com,Lithuania,Vilnius,2011,Components & Enabling Technologies,Mid-IR laser diodes / MBE epitaxy,,scaleup,active,"Develops mid-infrared GaSb laser diodes and MBE epitaxial wafers for sensing, defence and quantum tech.",Founded by the Vizbaras brothers; roots in the Walter Schottky Institute (Germany).
CCRAFT,https://www.ccraft.com,Switzerland,Neuchâtel,2025,Components & Enabling Technologies,Photonic chips,photonic,startup,active,Production-ready thin-film lithium-niobate (TFLN) photonic chip foundry for quantum and high-speed photonics.,"CSEM spinout (launched April 2025); site is ccraft.com, not .ch."
CMC Microsystems,https://www.cmc.ca,Canada,"Kingston, Ontario",1984,Components & Enabling Technologies,Fabrication access / foundry brokerage,,national-lab-or-spinout,active,"Non-profit providing Canadian researchers access to chip fabrication, packaging and test services.",NSERC-funded non-profit.
Coherent,https://www.coherent.com,United States,"Saxonburg, Pennsylvania",1971,Components & Enabling Technologies,Lasers / photonics,,public-company,active,"Lasers and photonic devices, vertically integrated optics and components for quantum systems.",NASDAQ: COHR (corrected from NYSE); formed via II-VI (founded 1971) acquiring/renaming as Coherent in 2022.
ConScience,https://con-science.se,Sweden,Gothenburg,,Components & Enabling Technologies,Quantum chip / nanofabrication,,startup,active,Gothenburg micro/nanofabrication foundry supplying quantum chips and devices (e.g. QiB0) for quantum technology.,Canonical site is con-science.se (record's conscience.se was wrong). 10+ yrs in Gothenburg; opened a Denmark/DTU subsidiary in 2024.
Covesion,https://covesion.com/,United Kingdom,Southampton,2009,Components & Enabling Technologies,Nonlinear optics (PPLN crystals),,national-lab-or-spinout,active,"MgO:PPLN crystals, waveguides and modules for quantum photonics, frequency conversion and lasers.",University of Southampton ORC spinout; founding year cited variously 2003-2009.
Creotech Instruments,https://creotech.pl,Poland,Piaseczno,2012,Components & Enabling Technologies,Control electronics,,public-company,active,Modular electronics and control systems for quantum and space applications.,Warsaw Stock Exchange: CRI.
CryoCoax,https://www.cryocoax.com/,United Kingdom,Reading,2015,Components & Enabling Technologies,Cryogenic coaxial cables/connectors,,other,active,"Cryogenic coaxial cables, connectors and RF assemblies for quantum and ultra-low-temperature systems.",Cryogenics division/brand of Intelliconnect (UK).
CryoConcept,https://cryoconcept.com,France,Les Ulis,2000,Components & Enabling Technologies,Cryogenics / dilution refrigerators,,other,acquired,Ultra-low-temperature dilution refrigerators (HEXA-DRY/HEXA-WET) reaching below 10 mK.,CEA spin-off; Air Liquide acquired majority (80%) stake in 2020. HQ corrected from Massy to Les Ulis.
Cryofab,https://www.cryofab.com,United States,"Kenilworth, New Jersey",1971,Components & Enabling Technologies,Cryogenics / dewars,,other,active,"Cryogenic dewars, vessels, valves (Cryocomp) and transfer equipment.",
Cryomagnetics,https://www.cryomagnetics.com,United States,"Oak Ridge, Tennessee",1988,Components & Enabling Technologies,Cryogenics / superconducting magnets,,other,active,"Superconducting magnet systems, cryostats and cryogenic instrumentation.",
Cryomech,https://www.cryomech.com,United States,"Syracuse, New York",1963,Components & Enabling Technologies,Cryogenics / cryocoolers,,other,acquired,Pulse-tube and Gifford-McMahon cryocoolers and cryogenic refrigeration systems.,Acquired by Bluefors (closed 2023); operates as part of Bluefors group from Syracuse.
Delft Circuits,https://delft-circuits.com,Netherlands,Delft,2016,Components & Enabling Technologies,Cryogenic I/O cabling,,startup,active,Cri/oFlex flexible cryogenic RF cables with integrated filtering for scalable quantum I/O.,Delft ecosystem; flexible-stripline cryogenic cabling for high-density qubit I/O.
Diamond Quanta,https://diamondquanta.com,United States,"Mountain View, California",2024,Components & Enabling Technologies,Materials / diamond,NV-center/diamond,startup,active,Doped lab-grown diamond materials and semiconductor technology for power electronics and quantum.,"Founded Jan 2024 (corrected from 2022); HQ Mountain View, CA (corrected from Stanford)."
Diatope,https://diatope.com,Germany,Ulm,2021,Components & Enabling Technologies,Quantum materials,NV-center/diamond,startup,active,CVD diamond materials and NV-center substrates for quantum sensing and computing.,Ulm University spin-off; based in Ummendorf (Ulm region); canonical site diatope.com (.de dead).
Dimira Technologies,https://www.dimira.in,India,Mumbai,,Components & Enabling Technologies,Cryogenic RF cables,,national-lab-or-spinout,active,Indigenous cryogenic radio-frequency cables and interconnects for quantum hardware; incubated at IIT Bombay.,NQM-supported (one of 8 startups). Founder Prof. Dipti Gupta. Could not confirm the listed dimira.in domain resolves; website unverified.
DiTom Microwave,https://ditom.com,United States,"Fresno, California",1987,Components & Enabling Technologies,RF/microwave components,,other,active,RF isolators and circulators used in qubit readout and control chains.,Founded 1987 (corrected from 2000).
Dream Photonics,https://dreamphotonics.com/,Canada,Vancouver,2020,Components & Enabling Technologies,Silicon photonics design & devices,,startup,active,UBC-spinout silicon/integrated photonics design house and devices for quantum and communications.,"Vancouver, BC; co-founded by Lukas Chrostowski & Sudip Shekhar; founding cited as 2019/2020."
Edwards Vacuum,https://www.edwardsvacuum.com/,United Kingdom,Burgess Hill,1919,Components & Enabling Technologies,Vacuum and cryogenic technologies,,big-tech-division,active,Vacuum and cryogenic pumps and systems used in quantum hardware fabrication and operation.,Part of Atlas Copco Group since 2014.
Ekspla,https://ekspla.com,Lithuania,Vilnius,1992,Components & Enabling Technologies,Lasers / laser electronics,,scaleup,active,Manufactures scientific and industrial lasers and laser electronics used in quantum and photonics research.,Founded 1992; two SPIE Prism Awards.
Element Six,https://www.e6.com/,United Kingdom,Didcot,2002,Components & Enabling Technologies,Synthetic diamond / NV-center materials,NV-center/diamond,big-tech-division,active,"Synthetic diamond materials, including NV-center-grade diamond for quantum sensing and computing.",De Beers Group subsidiary; named Element Six since 2002 (diamond heritage to 1946).
Emergence Quantum,https://emergencequantum.com,Australia,Sydney,2025,Components & Enabling Technologies,cryogenic control electronics,superconducting,startup,active,Develops cryogenic/scalable control and readout electronics to operate qubits across hardware platforms.,Founded 2025 by David Reilly & Thomas Ohki (ex-Microsoft Quantum/USYD). Collaboration with IonQ.
Ephos,https://ephos.io,Italy,Milan,2022,Components & Enabling Technologies,Glass-based photonic chips,photonic,startup,active,Designs and manufactures glass-based quantum photonic chips; runs the first dedicated glass-photonics facility in Milan.,"Founded by Andrea Rocchetto; raised $8.5M seed (2024, Starlight Ventures); selected for NATO DIANA (EUR 450K)."
Epoch Wires,https://www.epochwires.com,United Kingdom,Cambridge,2013,Components & Enabling Technologies,Superconducting (MgB2) wires,,startup,active,"First company to commercialize MgB2 superconducting wires; serves MRI, energy and aerospace.","Corrected: Cambridge, UK firm founded 2013 (not Mumbai, India). Primary market is MRI/aviation; quantum relevance is tangential. Possible misattribution in source data."
ERZIA,https://www.erzia.com,Spain,Santander,2002,Components & Enabling Technologies,RF/microwave components,,other,active,"RF/microwave amplifier modules and subsystems used in quantum, space and defense applications.",
Eulambia Advanced Technologies,https://www.eulambia.com,Greece,Athens,2013,Components & Enabling Technologies,Photonics & electronics R&D / engineering,,startup,active,"Photonics and microwave-electronics R&D and engineering, including quantum-communication/QKD-related custom systems.",Founded 2013 as spin-off of University of Athens Optical Communications lab; corrected from 2012.
Excelitas Technologies,https://www.excelitas.com,United States,"Pittsburgh, Pennsylvania",2010,Components & Enabling Technologies,Photonics / single-photon devices,,other,active,"Single-photon counting modules, avalanche photodiodes and optoelectronic photonics components.",Spun off from PerkinElmer (EG&G heritage); PE-owned.
Faraday Factory Japan,https://www.faradaygroup.com/en/,Japan,Hachioji,2011,Components & Enabling Technologies,High-temperature superconductor tape,,startup,active,"Manufactures 2G high-temperature superconducting (REBCO) tape for fusion, magnets and cryogenic systems.","Founded 2011 (not 2015); HQ Hachioji, Tokyo. Old faradayfactory.com domain dead; canonical site is faradaygroup.com. Part of US-based Faraday Group since 2022."
Femtum,https://femtum.com/,Canada,Quebec City,2017,Components & Enabling Technologies,Mid-IR fiber lasers,,startup,active,Mid-infrared pulsed fiber laser systems for photonics/semiconductor manufacturing and sensing.,"Laval University (COPL) spinout, Nov 2017, Quebec City. Primary focus is lasers for semiconductor/photonics manufacturing (reclassified to Components)."
Filtronic,https://www.filtronic.com/,United Kingdom,Sedgefield,1977,Components & Enabling Technologies,RF/microwave filters & components,,public-company,active,Custom cryogenic RF and microwave filters and components for superconducting quantum systems.,LSE (AIM)-listed; dedicated quantum-computing product line.
FormFactor (HPD),https://www.formfactor.com,United States,"Livermore, California",1993,Components & Enabling Technologies,Test & measurement / cryogenics,,public-company,active,"Cryogenic probe stations, dilution refrigerators (HPD) and high-speed cryogenic chip test systems.",NASDAQ: FORM; QED-C member; IQ2000 chip-scale prober; largest US commercial DR supplier.
FrostByte,https://frostbyte.tech,Netherlands,Delft,2025,Components & Enabling Technologies,Cryogenic CMOS electronics,,startup,active,Cryogenic CMOS control electronics integrated close to qubits for scalable quantum systems.,QuTech spinout (2025); raised EUR1.3M in 2026; first products are cryogenic RF switches.
Fujikura,https://www.fujikura.co.jp/en/,Japan,Tokyo,1885,Components & Enabling Technologies,Superconducting wire / cabling,,public-company,active,"Manufactures superconducting wires, cables and optical-fiber components used in quantum hardware.",Canonical English site is fujikura.co.jp/en/. Established materials and cabling supplier.
GlobalFoundries,https://gf.com,United States,"Malta, New York",2009,Components & Enabling Technologies,Chip fabrication / foundry,,public-company,active,300mm semiconductor foundry fabricating photonic and silicon quantum chips at scale.,Partner for PsiQuantum/Diraq; launched Quantum Technology Solutions business in 2026. NASDAQ: GFS.
Great Lakes Crystal Technologies,https://glcrystal.com/,United States,"Lansing, Michigan",2019,Components & Enabling Technologies,CVD diamond materials,,national-lab-or-spinout,active,"Produces ultra-high-purity single-crystal CVD diamond substrates/wafers for quantum sensing, power electronics and detectors.",QED-C member; Michigan State / Fraunhofer USA spinout.
Hamamatsu Photonics,https://www.hamamatsu.com/,Japan,Hamamatsu,1953,Components & Enabling Technologies,Photonic devices / single-photon detectors,,public-company,active,"Photonics manufacturer supplying single-photon detectors, SPADs and light sources for quantum systems.",Global supplier of photonic components for quantum optics.
Hawthorn Photonics,https://hawthornphotonics.com/,United States,"Bozeman, Montana",,Components & Enabling Technologies,Nonlinear optics / frequency conversion,,other,active,"US photonics group in nonlinear optics and quantum photonics; parent of AdvR, Covesion and Radiantis.","QED-C member; AdvR in Bozeman, Covesion (UK), Radiantis (Spain)."
Henan Shijia Photons Technology (仕佳光子),https://www.shijiaphotons.com,China,Hebi,2010,Components & Enabling Technologies,Photonic chips & QRNG components,,public-company,active,Optical/photonic chip and component maker (PLC/AWG/DFB) involved in QRNG chip and optical-component supply.,"Founded Oct 2010, Hebi, Henan. Listed on Shanghai STAR Market (Aug 2020)."
High Precision Devices,https://www.hpd-online.com,United States,"Boulder, Colorado",1994,Components & Enabling Technologies,Cryogenics,,other,acquired,Adiabatic demagnetization refrigerators and cryogenic instrumentation for quantum and detector research.,Acquired by FormFactor in 2020.
HiQuTe Diamond,https://hiqute-diamond.com,France,Boulogne-Billancourt,2022,Components & Enabling Technologies,NV-center diamond materials,NV-center/diamond,startup,active,"Nitrogen-doped, isotopically enriched diamond plates with NV centers for quantum sensing and computing.",CNRS / Universite Sorbonne Paris Nord spinout; enables ultra-sensitive magnetometers.
Holzworth Instrumentation,https://holzworth.com,United States,"Boulder, Colorado",2006,Components & Enabling Technologies,RF test & measurement,,other,active,Low phase-noise RF synthesizers and phase-noise analyzers for quantum control.,Part of Maury Microwave.
Hyper Tech Research,https://www.hypertechresearch.com,United States,"Columbus, Ohio",2001,Components & Enabling Technologies,Superconducting materials,,other,active,Superconducting MgB2 and Nb3Sn wires and materials for magnets and cryogenic systems.,Founded 2001 (corrected from 1996).
Icarus Quantum,https://www.icarusquantum.com,United States,"Boulder, Colorado",2022,Components & Enabling Technologies,Single-photon sources / materials,photonic,startup,active,Quantum-dot single- and entangled-photon source technology for quantum networking and photonic links.,JILA/NIST Boulder spinout.
ICE Oxford,https://iceoxford.com,United Kingdom,Witney,2005,Components & Enabling Technologies,Cryogenics,,other,active,"Custom cryogenic systems, cryostats and ultra-low-temperature solutions for quantum research.",
imec (quantum),https://www.imec-int.com,Belgium,Leuven,1984,Components & Enabling Technologies,Quantum chip fabrication / nanoelectronics,spin/silicon,national-lab-or-spinout,active,Nanoelectronics R&D center fabricating 300mm silicon spin-qubit quantum chips; coordinates the EU SPINS pilot line.,In May 2026 demoed first quantum-dot qubit device made with High-NA EUV; fabricates spin qubits for Diraq.
Infineon Technologies (Ion Trap unit),https://www.infineon.com,Austria,Villach,1999,Components & Enabling Technologies,Ion-trap chips,trapped-ion,big-tech-division,active,Fabricates ion-trap chips and control electronics for quantum hardware; develops PQC in chips.,"Quantum/ion-trap fab at Villach; Infineon HQ is in Neubiberg, Germany."
Innofocus Photonics Technology,https://innofocus.com.au,Australia,Melbourne,,Components & Enabling Technologies,photonic nanomanufacturing,,startup,active,Builds intelligent 3D laser nanomanufacturing systems for photonic and quantum device fabrication.,"Melbourne (Heidelberg) nano-manufacturing plant. Serves quantum, cleantech, medtech, biotech."
Innolume,https://www.innolume.com,Germany,Dortmund,2003,Components & Enabling Technologies,Lasers / gain chips,,other,active,"Quantum-dot gain chips, DFB lasers and SOAs across ~1000-1320nm for photonics and quantum.",
Integrated Optics,https://integratedoptics.com,Lithuania,Vilnius,2012,Components & Enabling Technologies,Compact lasers for quantum,,startup,active,"Designs compact, space-qualified laser sources used in quantum experiments and orbital quantum payloads.",Founded 2012 (record had 2013); MatchBox laser flew on first space-borne quantum computer.
Interlune,https://www.interlune.space/,United States,"Seattle, Washington",2020,Components & Enabling Technologies,Helium-3 supply,,startup,active,Harvests helium-3 (lunar and terrestrial) to supply cryogenic refrigerants for quantum computing.,Supply deals with Bluefors and Maybell; NASA and AFWERX awards. Primarily a space-resources firm.
Intermodulation Products,https://intermod.pro,Sweden,Landa,2010,Components & Enabling Technologies,Control & readout electronics,,startup,active,Multifrequency lock-in and Presto/Vivace microwave control-readout instruments for quantum devices.,"Canonical site intermod.pro; founded 2010 (corrected from 2014); registered in Landa, Sweden."
Isentroniq,https://www.isentroniq.com,France,Paris,2025,Components & Enabling Technologies,Cryogenic qubit wiring,superconducting,startup,active,Fabless cryogenic wiring/interconnect technology to scale superconducting qubit counts in dilution fridges.,Not a quantum-computer maker; recategorized from Hardware to enabling tech. Raised EUR7.5M Oct 2025; founded by ex-Alice & Bob Paul Magnard.
Janis Research,https://www.lakeshore.com/products/categories/overview/cryogenic-products,United States,"Woburn, Massachusetts",1961,Components & Enabling Technologies,Cryogenics,,other,acquired,"Cryogenic, magnetic and material-characterization measurement instruments used in quantum computing.",Cryogenics business acquired by Lake Shore Cryotronics (2020); ULT dilution-refrigerator line went to FormFactor.
K1 Semiconductor,https://k1semiconductor.com/,United States,Chicago,2024,Components & Enabling Technologies,Wafer spalling / materials,,startup,active,"Wafer-splitting (spalling) platform enabling up to 20x reuse of SiC, GaN, LiNbO3 and diamond wafers for quantum and other devices.",UChicago PME/Booth spinout (Guha lab); Chicago Quantum Exchange member; Alchemist Chicago / Duality cohort.
Keysight Technologies,https://www.keysight.com,United States,"Santa Rosa, California",2014,Components & Enabling Technologies,Test & measurement / control electronics,,public-company,active,"Quantum control, characterization and test-and-measurement instruments and Labber software.",NYSE: KEYS; spun out of Agilent in 2014.
kiutra,https://kiutra.com,Germany,Munich,2018,Components & Enabling Technologies,Cryogenics,,startup,active,Cryogen-free adiabatic-demagnetization (magnetic) cooling systems for quantum technologies.,TU Munich spinout.
Leiden Cryogenics,https://www.leidencryogenics.nl,Netherlands,Leiden,1992,Components & Enabling Technologies,Dilution refrigerators,,scaleup,active,"Dutch maker of dilution refrigerators, cryostats and ultra-low-temperature systems for quantum and physics research.",Founded 1992 (not 1984) by Prof. Giorgio Frossati as a Leiden University spin-off. Canonical site is leidencryogenics.nl (the .com was incorrect).
Leybold,https://www.leybold.com,Germany,Cologne,1850,Components & Enabling Technologies,Vacuum technology,,other,active,Vacuum pumps and technology used in quantum device fabrication and cryogenics.,Part of the Atlas Copco vacuum division.
LIGENTEC,https://www.ligentec.com,Switzerland,Lausanne,2016,Components & Enabling Technologies,Photonic chips,photonic,scaleup,active,Low-loss silicon nitride photonic integrated circuit foundry for quantum and classical photonics.,EPFL spinout.
Lightium,https://lightium.com,Switzerland,Zurich,2022,Components & Enabling Technologies,Thin-film lithium niobate photonic foundry,,startup,active,Industrial thin-film lithium niobate (TFLN) photonic integrated circuit foundry and design services.,"Co-founded by Amir Ghadimi, Frederic Loizeau and MIT's Dirk Englund; raised $7M seed (2024, Vsquared Ventures, Lakestar)."
LightMachinery,https://lightmachinery.com/,Canada,Ottawa,2002,Components & Enabling Technologies,Precision optics & lasers,,startup,active,"Precision optical components, etalons and lasers used in quantum sensing and photonics.","Nepean/Ottawa, ON; founded 2002 by ex-Lumonics members (corrected from 2003)."
LioniX International,https://www.lionix-international.com,Netherlands,Enschede,2001,Components & Enabling Technologies,Photonic integrated circuits,photonic,scaleup,active,TriPleX silicon-nitride photonic integrated circuits and modules used in quantum photonics.,"University of Twente roots; originally Lion Photonics (2001), reformed via 2016 merger."
Liquid Instruments,https://liquidinstruments.com,Australia,Canberra,2014,Components & Enabling Technologies,test & measurement instruments,,scaleup,active,ANU/NASA-JPL spinout making FPGA-based Moku test-and-measurement instruments used in quantum labs and rigs.,CEO Daniel Shaddock. Raised US$50M+ Series C (~A$70M) co-led by Keysight and NRFC.
Low Noise Factory,https://lownoisefactory.com,Sweden,Gothenburg,2005,Components & Enabling Technologies,Cryogenic low-noise amplifiers,,scaleup,active,Designs and produces high-performance cryogenic low-noise microwave amplifiers for quantum computing readout chains.,Chalmers spin-off founded by Niklas Wadefalk; ~85% of work is quantum-related.
Lumai,https://lumai.ai,United Kingdom,Oxford,2022,Components & Enabling Technologies,Optical AI compute,photonic,startup,active,3D free-space optical computing hardware for AI inference acceleration.,"University of Oxford spinout (2022). Classical optical compute, not quantum. Canonical site now lumai.ai (record had lumai.co.uk)."
M-Labs (Sinara/ARTIQ),https://m-labs.hk,Hong Kong,Hong Kong,2013,Components & Enabling Technologies,Control electronics / hardware,,startup,active,Open-source ARTIQ control system and Sinara hardware for trapped-ion and quantum experiments.,Incorporated as M-Labs Ltd in 2013 (renamed from Milkymist); HQ Hong Kong.
Marki Microwave,https://www.markimicrowave.com,United States,"Morgan Hill, California",1991,Components & Enabling Technologies,RF/microwave components,,other,active,"Mixers, filters and RF/microwave components used in quantum control electronics.",
Maury Microwave,https://www.maurymw.com,United States,"Ontario, California",1957,Components & Enabling Technologies,RF test & measurement,,other,active,"RF/microwave test, calibration and measurement systems for quantum hardware characterization.","Acquired by Artemis Capital Partners (2021); operates independently from Ontario, CA."
Maybell Quantum,https://www.maybellquantum.com,United States,"Denver, Colorado",2021,Components & Enabling Technologies,Cryogenics / wiring,,startup,active,"High-density dilution refrigerators (Big Fridge, ColdCloud) and cryogenic wiring for scaled quantum systems.",QED-C member; raised Series B led by Addition; supports far higher qubit density than legacy fridges.
Menlo Systems,https://www.menlosystems.com,Germany,Martinsried,2001,Components & Enabling Technologies,Frequency combs,,scaleup,active,Optical frequency combs and ultra-stable laser references for clocks and quantum metrology.,MPQ spinout; Hamamatsu holds a minority stake (not a full subsidiary).
Mini-Circuits,https://www.minicircuits.com,United States,"Brooklyn, New York",1969,Components & Enabling Technologies,RF/microwave components,,other,active,"RF and microwave components (amplifiers, mixers, filters) widely used in quantum setups.",
MOGLabs,https://www.moglabs.com,Australia,Melbourne,2006,Components & Enabling Technologies,Lasers / control electronics,,startup,acquired,Diode laser systems and laser/RF control electronics for atomic physics and quantum labs.,University of Melbourne spinout (2006/2007); acquired by Santec Group in 2025.
Monarch Quantum,https://monarchquantum.com/,United States,"San Diego, California",2025,Components & Enabling Technologies,Photonic control systems / lasers,,startup,active,"Makes integrated photonic 'light engines' (lasers, modulators, detectors, control) for neutral-atom, ion and other quantum hardware.","Daylight Solutions spinout; customers include Quantinuum, Infleqtion, NASA. $55M round 2026."
Montana Instruments,https://www.montanainstruments.com,United States,"Bozeman, Montana",2009,Components & Enabling Technologies,Cryogenics,,other,active,Closed-cycle cryostats and integrated cryogenic platforms for quantum and optics research.,Part of Atlas Copco group.
Munich Quantum Instruments,https://munich-quantum-instruments.com,Germany,Munich,2022,Components & Enabling Technologies,Detectors,photonic,startup,active,Superconducting-nanowire single-photon detectors (SNSPDs) for photonic quantum systems.,Corrected website to munich-quantum-instruments.com; founded 2022 per company/registry sources.
Nanoco Technologies,https://www.nanocotechnologies.com/,United Kingdom,Runcorn,2001,Components & Enabling Technologies,Quantum dots / nanomaterials,,public-company,active,"Cadmium-free quantum dots and nanomaterials for displays, sensing and imaging.","LSE-listed (NANO); HQ Runcorn, tech originated at University of Manchester."
Nexus Photonics,https://www.nexusphotonics.com/,United States,"Santa Barbara, California",2018,Components & Enabling Technologies,Integrated photonics / lasers,,national-lab-or-spinout,active,Builds heterogeneous photonic integrated circuits with low-noise tunable lasers (UV to IR) for atomic clocks and quantum.,QED-C member; UC Santa Barbara spinout.
NKT Photonics,https://www.nktphotonics.com,Denmark,Birkeroed,2009,Components & Enabling Technologies,Lasers / fibers,,other,active,"Fiber lasers, supercontinuum sources and specialty fibers used in quantum applications.","Now owned by Hamamatsu Photonics (via Photonics Management Europe, 2024); formed 2009 from Crystal Fibre/Koheras merger."
Norcada,https://www.norcada.com/,Canada,Edmonton,2001,Components & Enabling Technologies,MEMS & membrane components,,startup,active,"MEMS, silicon-nitride membranes and microfabricated components used in sensing and quantum experiments.","Edmonton, AB."
NuCrypt,https://nucrypt.net,United States,"Evanston, IL",2004,Components & Enabling Technologies,Photon instrumentation,,startup,acquired,"Quantum optical instrumentation: entangled-photon sources, detectors and state-tomography systems.",Acquired by Quantum Computing Inc. (QUBT). Site nucrypt.net remains live.
Octave Photonics,https://www.octavephotonics.com/,United States,"Louisville, Colorado",2020,Components & Enabling Technologies,Nonlinear nanophotonics,,national-lab-or-spinout,active,"Makes packaged nonlinear nanophotonic chips (supercontinuum, frequency-comb stabilization) for atomic clocks and quantum systems.",NIST Boulder / CU Boulder spinout (ex-NIST postdocs); QED-C member. Tantala-based photonics; works on UNICORN with NIST/CU.
Onnes Technologies,https://onnestechnologies.com,Netherlands,Leiden,2018,Components & Enabling Technologies,Cryogenic nanopositioning,,startup,active,Cryogenic nanopositioners (Cryo-Walking) for low-temperature quantum and materials research.,Leiden University spinout; arQtika cryo-walker product.
Optiwave Systems,https://optiwave.com/,Canada,Ottawa,1994,Components & Enabling Technologies,Photonics design software,,startup,active,Photonics and optical-system design/simulation software used in quantum communication and sensing.,"Ottawa, ON; founded 1994."
Orange Quantum Systems,https://orangeqs.com,Netherlands,Delft,2020,Components & Enabling Technologies,Quantum chip test & benchmarking,,startup,active,"Automated test, characterization and benchmarking systems for quantum chips.",QuTech spinout; products incl. OrangeQS MAX/FLEX and Juice OS.
Oriole Networks,https://oriolenetworks.com/,United Kingdom,London,2023,Components & Enabling Technologies,Photonic networking for AI/data centres,photonic,national-lab-or-spinout,active,Photonic optical-circuit-switched networking to interconnect AI chips; UCL spinout.,Adjacent photonics; not pure quantum but in UK quantum/photonics ecosystem.
OTI Lumionics,https://www.otilumionics.com/,Canada,Mississauga,2011,Components & Enabling Technologies,Materials & quantum simulation,,scaleup,active,Advanced materials company using quantum/quantum-inspired simulation to design OLED and electronic materials.,"Mississauga, ON; uses quantum and quantum-inspired methods for materials design."
Oxford Instruments,https://www.oxinst.com/,United Kingdom,Abingdon,1959,Components & Enabling Technologies,Cryogenics / dilution refrigerators,,public-company,active,Cryogenic systems including Proteox dilution refrigerators enabling quantum hardware.,Listed on LSE.
Oxford Instruments NanoScience,https://www.qd-oxford.com,United Kingdom,Abingdon,1959,Components & Enabling Technologies,Cryogenics / dilution refrigerators,,big-tech-division,acquired,"Dilution refrigerators (Proteox), superconducting magnets and ultra-low-temperature cryogenic systems.",Oxford NanoScience cryogenic line acquired by Quantum Design (completed Jan 2026); now operates as Quantum Design Oxford.
OZ Optics,https://www.ozoptics.com/,Canada,"Ottawa, Ontario",1985,Components & Enabling Technologies,Fiber-optic components,,other,active,Supplies fiber-optic components and entangled-photon-pair sources (PPLN/PPSF) for quantum applications.,Quantum Industry Canada member.
Phoenix Company of Chicago,https://phoenixofchicago.com,United States,"Chicago, Illinois",1969,Components & Enabling Technologies,RF interconnects / packaging,,other,active,PkZ constant-impedance RF/microwave blindmate connectors and cryogenic cable assemblies for quantum systems.,Founded 1969 (corrected from 1965).
PHOTEC (Photon Technology),https://www.snspd.com,China,Jiaxing,2018,Components & Enabling Technologies,Superconducting single-photon detectors,,national-lab-or-spinout,active,Industrializes superconducting nanowire single-photon detectors (SNSPD) and cryogenic systems.,"Photon Technology Co., Ltd, backed by Shanghai Institute of Microsystem (CAS); also operates PHOTEC Italy. Chinese name 赋同量子."
Photon Force,https://www.photon-force.com/,United Kingdom,Edinburgh,2015,Components & Enabling Technologies,Single-photon avalanche diode (SPAD) arrays,,national-lab-or-spinout,active,CMOS single-photon avalanche diode (SPAD) detector arrays and time-resolved cameras for photon counting.,University of Edinburgh spinout.
Photon Spot,https://www.photonspot.com,United States,"Monrovia, California",2019,Components & Enabling Technologies,Single-photon detectors / cryogenics,,startup,active,Superconducting nanowire single-photon detectors (SNSPDs) and sub-Kelvin cryogenic systems.,Founded year corrected from 2012 to 2019.
PHPK Technologies,https://www.phpk.com,United States,"Lewis Center, Ohio",1991,Components & Enabling Technologies,Cryogenics / vacuum,,other,active,"Cryogenic and high-vacuum equipment, valves, vacuum-jacketed piping and cryopump systems.","HQ in Lewis Center (Columbus area), Ohio."
PicoQuant,https://www.picoquant.com,Germany,Berlin,1996,Components & Enabling Technologies,Detectors/lasers,photonic,other,active,"Pulsed laser sources, single-photon counting and time-resolved photonics instrumentation.",Based in Berlin-Adlershof.
Pilot Photonics,https://www.pilotphotonics.com/,Ireland,Dublin,2011,Components & Enabling Technologies,Optical comb / photonic integration,photonic,national-lab-or-spinout,active,Photonic integrated optical frequency comb laser sources; Dublin City University spinout.,"Photonics enabling tech relevant to quantum communications, sensing and atomic clocks."
PINC Technologies,https://www.pinctech.com,United States,"Pasadena, California",2023,Components & Enabling Technologies,Photonic components,photonic,startup,active,Scalable integrated nonlinear photonic devices for quantum light generation and processing.,Caltech spinout; HQ Pasadena CA (corrected from Boulder); founded 2023.
Pixel Photonics,https://www.pixelphotonics.com,Germany,Münster,2021,Components & Enabling Technologies,Single-photon detectors,photonic,startup,active,Waveguide-integrated superconducting nanowire single-photon detectors and photonic components.,"University of Muenster spinout; founded 2021, not 2020."
Plasmionique,https://www.plasmionique.com/,Canada,Varennes,1999,Components & Enabling Technologies,Thin-film & materials equipment,,startup,active,Custom thin-film deposition and plasma/vacuum systems relevant to quantum-materials fabrication.,"Varennes, QC; operating since 1999."
Plessey Semiconductors,https://www.plessey.com,United Kingdom,Plymouth,2010,Components & Enabling Technologies,Optoelectronic components,,other,acquired,GaN-on-silicon microLED and optoelectronic components with quantum-relevant photonics.,Modern Plessey Semiconductors Ltd formed 2010 (MBO); acquired by Haylo Labs in 2025. Canonical site plessey.com.
Prenishq,https://www.prenishq.com,India,New Delhi,,Components & Enabling Technologies,Precision diode-laser systems,,national-lab-or-spinout,active,High-precision diode laser systems and quantum sensors; demonstrated India's first indigenous precision diode laser.,NQM-supported IIT Delhi spin-off; website prenishq.com confirmed live.
